Output
11122.65039
11253.25977
11522.55957
11572.2002
11511.08008
11551.09961
11582.42969
11722.98047
11560.71973
11489.36035
11351.29981
11251.70996
11008.16992
11029.88965
11032.99023
11028.01953
10738.87012
10940.53027
11041.04981
11003.2002
11013.44043
10963.79981
10905.79004
10957.59961
10699.16016
10643.62988
10425.20996
10519.83984
10718.08984
10561.41016
10514.57031
10219.51953
10304.83984
10225.73047
10092.62988
9862.120117
10038.65039
10128.30957
10137.92969
10164.91992
10367.2002
10170.5
9796.030273
9856.530273
10010.73047
9928.820313
9947.129883
9811.240234
10131.41016
10630.59961
10595.23047
10680.24023
10907.33984
10866.7002
11119.86035
11112.71973
11025.84961
10936.11035
11018.71973
10980.25
10921.91992
11221.92969
11164.83984
11033.91992
11114.26953
11111.48047
11186.55957
11287.08008
11125.12988
10923.54981
10305.76953
10582.50977
10767.41992
10674.95996
10844.04981
10906.09961
11124.82031
10945.5
10888.09961
10733.91016
10811.78027
10731.12012
10480.12988
10412.49023
10577.86035
10603.62988
10536.75
10367.78027
10545.96973
10609.37012
10807.78027
10934.57031
10769.74023
10777.28027
10626.84961
10542.54981
10422.26953
10535.34961
10323.91992
10299.24023
10527.12988
10522.33008
10652.2002
10794.75977
10815.29981
10735.57031
10812.86035
10668.71973
10614.05957
10564.20996
10621.83984
10687.9502
10714.82031
10449.29981
10557.83984
10435.16016
10497.74023
10376.12012
10404.75
10542.99023
10504.45996
10527.79004
10398.04004
10447.88965
10560.66992
10483.59961
10481.46973
10635.98047
10646.58008
10727.19043
10783.75977
10788.70996
10812.75
10804.26953
10739.91992
10696.08008
10843.87012
10733.55957
10685.12012
10699.96973
10516.48047
10586.12988
10511.16992
10521.98047
10606.9502
10687.53027
10706.58008
10767.75
10867.00977
10976.88965
10905.83008
10908.75977
11027.79981
11176.13965
11067
11008.38965
11055.63965
11046.48047
11079.80957
11139.15039
11144.65039
11182.74023
11192.62988
11252.83984
11215.09961
11103.00977
11215.09961
11238.78027
11260.61035
11310.63965
11259.87012
11220.65039
11195.49023
11233.23047
11182.17969
11087.46973
10927
10808.51953
10789.29004
10687.91992
10765.51953
10847.37012
10808.15039
10631.32031
10628.36035
10824.05957
10650.91992
10700.12988
10719.74023
10784.48047
10724.91992
10596.54004
10568.42969
10524.40039
10413.79004
10034.58008
10192.17969
10238.79981
10089.70996
9975.019531
10142.98047
10226.58984
10271.71973
10393.07031
10326.48047
10380.12012
10590.62012
10835.76953
10971.13965
10899.46973
10880.50977
10817.9502
10977.20996
10952.17969
10907.05957
10834.25
10602.9502
10517.25
10681.05957
10707.59961
10656.03027
10629.87012
10462.65039
10494.5
10399.32031
10470.23047
10546.07031
10507.58008
10629.11035
10414.49023
10373.54004
10560.9502
10898.71973
10664.37988
10617.36035
10712.91016
10725.79981
10768.26953
10794.44043
10674.99023
10434.95996
10645.41992
10584.37012
10318.92969
10487.29004
10635.55957
10692.44043
10803.16016
10868.75977
10787.99023
10646.15039
10945.75
10912.41016
10662.00977
10621.34961
10572.54981
10604.26953
10609.54981
10525.37988
10652.66016
10584.33984
10678.28027
10587.58984
10578.24023
10649.80957
10646.96973
10729.51953
10659.98047
10702.19043
10881.2002
10887.36035
10983.62988
10864.09961
10965.84961
10957.41992
10946.71973
10880.54981
10781.4502
10946.76953
10903.32031
10795.41016
10891.01953
10799.82031
10730.87988
10526.58008
10526.80957
10441.90039
10642.53027
10636.87988
10495.28027
10450.13965
10466.30957
10562.29981
10591.21973
10729.59961
10858.25
10644.62012
10208.25
10290.79981
9973.459961
10031.28027
9823.410156
9959.110352
9720.759766
9487
9389.480469
9504.780273
9687.530273
9947.540039
9785.349609
9799.05957
9878.780273
9777.929688
9485.709961
9515.419922
9918.049805
9791.089844
9845.150391
10102.74023
10013.46973
10126.94043
10158.55957
10216.73047
10615.83008
10693.70996
10579.84961
10532.23047
10454.33984
10625.2002
10692.34961
10810.04981
10734.96973
10898.33984
10876.67969
10796.65039
